Timestamp           ,GI,Feeder,Amp-R  ,Amp-S ,Amp-T ,Volt-R ,Volt-S ,Volt-T ,Power Factor ,Frequency ,Power Active ,Power Reactive ,Power Apparent ,Phase-R ,Phase-S ,Phase-T 
5/1/2026 17:00,GI Garut #1,F. Cikelet,1.09,1.02,1.06,58.84,59.32,59.38,-0.87,49.97,164.23,90.6,187.94,0,0,0
5/1/2026 17:00,GI Garut #1,F. Cipanas,1.05,0.98,1.01,58.9,59.26,59.35,-0.88,50.01,158.1,86.4,180.2,0,0,0
5/1/2026 17:00,GI Garut #1,F. Cikopo,0.7,0.66,0.68,58.95,59.3,59.36,-0.86,50.01,140.2,70.1,156.8,0,0,0
5/1/2026 17:15,GI Garut #1,F. Cikelet,1.13,1.04,1.1,58.92,59.33,59.42,-0.89,50,171.85,88.39,193.67,0,0,0
5/1/2026 17:15,GI Garut #1,F. Cipanas,1.09,1.01,1.05,58.93,59.28,59.36,-0.89,49.99,165.4,85.1,186.1,0,0,0
5/1/2026 17:15,GI Garut #1,F. Cikopo,0.72,0.68,0.7,58.96,59.31,59.37,-0.86,50,150.1,72.3,166.5,0,0,0
5/1/2026 17:30,GI Garut #1,F. Cikelet,1.18,1.12,1.16,58.84,59.24,59.38,-0.91,49.96,185.89,84.17,204.45,0,0,0
5/1/2026 17:30,GI Garut #1,F. Cipanas,1.14,1.06,1.09,58.91,59.25,59.34,-0.9,50.02,178.6,83.9,197.3,0,0,0
5/1/2026 17:30,GI Garut #1,F. Cikopo,0.74,0.7,0.71,58.94,59.29,59.35,-0.87,49.99,160.3,74.5,176.7,0,0,0
5/1/2026 17:45,GI Garut #1,F. Cikelet,2.68,2.54,2.61,58.77,59.21,59.37,-0.94,49.99,415.32,79.82,230.07,0,0,0
5/1/2026 17:45,GI Garut #1,F. Cipanas,2.6,2.48,2.52,58.86,59.21,59.32,-0.93,49.98,402.5,80.1,222.4,0,0,0
5/1/2026 17:45,GI Garut #1,F. Cikopo,1.15,1.08,1.1,58.9,59.26,59.33,-0.88,49.99,225.94,76.8,193.1,0,0,0
